ticker,etf_name,aum_krw_100m,index_name,asset_bucket,risk_label,competition_category,category_limit,cluster,same_exposure_group,selected,target_weight,selected_role,thesis,action_trigger
A195970,PLUS 선진국MSCI(합성 H),244,MSCI EAFE Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 선진국MSCI(합성 H) MSCI EAFE Index,N,0,,,
A250730,RISE 차이나HSCEI(H),172,HSCEI (Hang Seng China Enterprise Index),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나HSCEI(H) HSCEI (Hang Seng China Enterprise Index),N,0,,,
A291130,ACE 멕시코MSCI(합성),171,MSCI MEXICO IMI 25/50 Price return Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 멕시코MSCI(합성) MSCI MEXICO IMI 25/50 Price return Index,N,0,,,
A195920,TIGER 일본TOPIX(합성 H),159,TOPIX,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 일본TOPIX(합성 H) TOPIX,N,0,,,
A310080,RISE 중국MSCI China(H),119,MSCI China NTR Index(USD) (Net Total Return),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 중국MSCI China(H) MSCI China NTR Index(USD) (Net Total Return),N,0,,,
A105010,TIGER 라틴35,113,BNY Latin America 35 ADR Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 라틴35 BNY Latin America 35 ADR Index,N,0,,,
A379790,RISE 유로스탁스50(H),109,EURO STOXX50,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 유로스탁스50(H) EURO STOXX50,N,0,,,
A411860,KIWOOM 독일DAX,104,DAX Index(PR),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 독일DAX DAX Index(PR),N,0,,,
A499150,SOL 미국S&P500엔화노출(H),85,S&P500 Yen Hedged Index(PR),Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A189400,PLUS 글로벌MSCI(합성 H),70,MSCI ACWI Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 글로벌MSCI(합성 H) MSCI ACWI Index,N,0,,,
A261920,ACE 필리핀MSCI(합성),57,MSCI Philippines IMI Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 필리핀MSCI(합성) MSCI Philippines IMI Index,N,0,,,
A381170,TIGER 미국테크TOP10 INDXX,38009,Indxx US Tech Top 10 Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국테크TOP10 INDXX Indxx US Tech Top 10 Index,N,0,,,
A458730,TIGER 미국배당다우존스,30379,Dow Jones U.S. Dividend 100 Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국배당다우존스 Dow Jones U.S. Dividend 100 Price Return Index,N,0,,,
A487230,KODEX 미국AI전력핵심인프라,13631,iSelect 미국AI전력핵심인프라 지수(Price Return),Risk,위험,해외주식_섹터,10,AI Power Infrastructure,AI Power,Y,4,Satellite thematic,AI data-center power infrastructure,Hold while AI capex cycle remains intact
A371460,TIGER 차이나전기차SOLACTIVE,13027,Solactive China Electric Vehicle and Battery Index(PR),Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 차이나전기차ACTIVE Solactive China Electric Vehicle and Battery Index(PR),N,0,,,
A457480,ACE 테슬라밸류체인액티브,11487,Bloomberg EV Supporters Plus Tesla Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 테슬라밸류체인액티브 Bloomberg EV Supporters Plus Tesla Price Return Index,N,0,,,
A456600,TIME 글로벌AI인공지능액티브,10744,Solactive Global Artificial Intelligence 지수,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 글로벌AI인공지능액티브 Solactive Global Artificial Intelligence 지수,N,0,,,
A465580,ACE 미국빅테크TOP7 Plus,9716,Solactive US Big Tech Top 7 Plus Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국빅테크TOP7 Plus Solactive US Big Tech Top 7 Plus Price Return Index,N,0,,,
A446770,ACE 글로벌반도체TOP4 Plus,9671,Solactive Global Semiconductor TOP4 Plus Price Return Index,Risk,위험,해외주식_섹터,10,AI & Semiconductors,Semiconductors,N,0,,,
A446720,SOL 미국배당다우존스,9140,Dow Jones U.S. Dividend 100 Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국배당다우존스 Dow Jones U.S. Dividend 100 Price Return Index,N,0,,,
A497570,TIGER 미국필라델피아AI반도체나스닥,8188,PHLX US AI Semiconductor 지수 (PR),Risk,위험,해외주식_섹터,10,AI & Semiconductors,Semiconductors,Y,6,Core thematic,US AI semiconductor supply chain,Cut if July earnings/capex guidance disappoints
A402970,ACE 미국배당다우존스,7817,Dow Jones U.S. Dividend 100 Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국배당다우존스 Dow Jones U.S. Dividend 100 Price Return Index,N,0,,,
A390390,KODEX 미국반도체,7809,MVIS US Listed Semiconductor 25 Index,Risk,위험,해외주식_섹터,10,AI & Semiconductors,Semiconductors,N,0,,,
A452360,SOL 미국배당다우존스(H),2026,Dow Jones U.S. Dividend 100 Price Return Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국배당다우존스(H) Dow Jones U.S. Dividend 100 Price Return Index,N,0,,,
A182480,TIGER 미국MSCI리츠(합성 H),1666,MSCI US REIT INDEX,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국MSCI리츠(합성 H) MSCI US REIT INDEX,N,0,,,
A429000,TIGER 미국S&P500배당귀족,1556,S&P 500 Dividend Aristocrats 지수 (Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A463680,KODEX 미국S&P500테크놀로지,648,S&P Technology Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A453640,KODEX 미국S&P500헬스케어,643,S&P Health Care Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A200030,KODEX 미국S&P500산업재(합성),500,S&P Select Sector Industrial Index,Risk,위험,해외주식_섹터,10,Korea Cyclical Alpha,US S&P500,N,0,,,
A453650,KODEX 미국S&P500금융,435,S&P Financial Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A218420,KODEX 미국S&P500에너지(합성),410,S&P Select Sector Energy Index,Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A352560,KODEX 미국부동산리츠(H),332,Dow Jones U.S. Real Estate PR Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국부동산리츠(H) Dow Jones U.S. Real Estate PR Index,N,0,,,
A493420,SOL 미국배당다우존스TR,325,Dow Jones U.S. Dividend 100 Index(TR),Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국배당다우존스TR Dow Jones U.S. Dividend 100 Index(TR),N,0,,,
A287180,PLUS 미국나스닥테크,316,NASDAQ 100 Technology Sector Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국나스닥테크 NASDAQ 100 Technology Sector Index,N,0,,,
A245350,TIGER 유로스탁스배당30,296,Euro STOXX Select Dividend 30,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 유로스탁스배당30 Euro STOXX Select Dividend 30,N,0,,,
A494410,PLUS 미국S&P500성장주,287,S&P 500 Growth Index(PR),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A460660,RISE 미국S&P배당킹,245,S&P Dividend Monarchs Index(Price Return),Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국S&P배당킹 S&P Dividend Monarchs Index(Price Return),N,0,,,
A185680,KODEX 미국S&P바이오(합성),200,S&P Biotechnology Select Industry Index,Risk,위험,해외주식_섹터,10,Satellite Equity,Satellite Equity: 미국S&P바이오(합성) S&P Biotechnology Select Industry Index,N,0,,,
A453630,KODEX 미국S&P500필수소비재,176,S&P Consumer Staples Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A463640,KODEX 미국S&P500유틸리티,162,S&P Utilities Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,AI Power Infrastructure,US S&P500,N,0,,,
A453660,KODEX 미국S&P500경기소비재,139,S&P Consumer Discretionary Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A463690,KODEX 미국S&P500커뮤니케이션,131,S&P Communication Services Select Sector Index(Price Return),Risk,위험,해외주식_섹터,10,Core Equity Beta,US S&P500,N,0,,,
A069500,KODEX 200,164803,코스피 200,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,Y,10,Core Korea beta,Semiconductor-led KOSPI earnings momentum,Trim if Korea foreign flow weakens for 2 weeks
A229200,KODEX 코스닥150,71839,코스닥 150,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSDAQ150,N,0,,,
A102110,TIGER 200,67897,코스피 200,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,N,0,,,
A278530,KODEX 200TR,52559,코스피 200 TR지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,N,0,,,
A310970,TIGER MSCI Korea TR,39380,MSCI Korea TR Index,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: MSCI Korea TR MSCI Korea TR Index,N,0,,,
A148020,RISE 200,29007,코스피 200,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 200 코스피 200,N,0,,,
A232080,TIGER 코스닥150,22098,코스닥 150,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSDAQ150,N,0,,,
A278540,KODEX MSCI Korea TR,21216,MSCI Korea TR Index,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: MSCI Korea TR MSCI Korea TR Index,N,0,,,
A294400,KIWOOM 200TR,15375,코스피 200 TR지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,N,0,,,
A152100,PLUS 200,13051,코스피 200,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 200 코스피 200,N,0,,,
A226490,KODEX 코스피,7939,코스피지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 코스피 코스피지수,N,0,,,
A361580,RISE 200TR,3842,코스피 200 TR지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,N,0,,,
A277630,TIGER 코스피,3810,코스피지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 코스피 코스피지수,N,0,,,
A295040,SOL 200TR,3540,코스피 200 TR지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Korea KOSPI200,N,0,,,
A302450,RISE 코스피,3310,코스피지수,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 코스피 코스피지수,N,0,,,
A328370,PLUS 코스피TR,1070,코스피 TR,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: 코스피TR 코스피 TR,N,0,,,
A156080,KODEX MSCI Korea,294,MSCI Korea Index,Risk,위험,국내주식_지수,30,Core Equity Beta,Core Equity Beta: MSCI Korea MSCI Korea Index,N,0,,,
A091160,KODEX 반도체,36019,KRX 반도체,Risk,위험,국내주식_섹터,15,AI & Semiconductors,Semiconductors,N,0,,,
A161510,PLUS 고배당주,23624,FnGuide 배당주 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 고배당주 FnGuide 배당주 지수,N,0,,,
A102780,KODEX 삼성그룹,23508,MKF 삼성그룹지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 삼성그룹 MKF 삼성그룹지수,N,0,,,
A395160,KODEX AI반도체,20947,FnGuide AI반도체지수,Risk,위험,국내주식_섹터,15,AI & Semiconductors,Semiconductors,Y,8,Core thematic,Direct Korea AI semiconductor and HBM exposure,Add if sector flow and 1M momentum improve
A466920,SOL 조선TOP3플러스,18733,FnGuide 조선TOP3플러스지수(PR),Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea Shipbuilding,Y,4,Satellite thematic,Export and defense-adjacent order-cycle alpha,Cut if relative rank falls to bottom 30%
A305720,KODEX 2차전지산업,18187,FnGuide 2차전지 산업 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 2차전지산업 FnGuide 2차전지 산업 지수,N,0,,,
A449450,PLUS K방산,17803,FnGuide K-방위산업 지수,Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea Defense,Y,3,Satellite thematic,Geopolitical premium and policy demand,Cut if geopolitical premium fades and trend breaks
A487240,KODEX AI전력핵심설비,15914,iSelect AI 전력핵심설비 지수(Price Return),Risk,위험,국내주식_섹터,15,AI Power Infrastructure,AI Power,N,0,,,
A395270,HANARO Fn K-반도체,14664,FnGuide K-반도체 지수 (시장가격),Risk,위험,국내주식_섹터,15,AI & Semiconductors,Semiconductors,N,0,,,
A315930,KODEX Top5PlusTR,13675,FnGuide TOP 5 Plus Total Return 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: Top5PlusTR FnGuide TOP 5 Plus Total Return 지수,N,0,,,
A305540,TIGER 2차전지테마,11376,WISE 2차전지 테마 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 2차전지테마 WISE 2차전지 테마 지수,N,0,,,
A494670,TIGER 조선TOP10,9938,iSelect 조선TOP10 Index(PR),Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea Shipbuilding,N,0,,,
A445290,KODEX 로봇액티브,9793,iSelect K-로봇테마 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 로봇액티브 iSelect K-로봇테마 지수,N,0,,,
A455850,SOL AI반도체소부장,9687,FnGuide AI 반도체 소부장 지수,Risk,위험,국내주식_섹터,15,AI & Semiconductors,Semiconductors,N,0,,,
A466940,TIGER 은행고배당플러스TOP10,9364,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 은행고배당플러스TOP10 FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),N,0,,,
A463250,TIGER K방산&우주,8830,iSelect K방산&우주,Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea Defense,N,0,,,
A139260,TIGER 200 IT,8199,코스피 200 정보기술,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A462010,TIGER 2차전지소재Fn,7840,FnGuide 2차전지소재 (Price Return) 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 2차전지소재Fn FnGuide 2차전지소재 (Price Return) 지수,N,0,,,
A434730,HANARO 원자력iSelect,7364,iSelect 원자력지수 (시장가격),Risk,위험,국내주식_섹터,15,AI Power Infrastructure,AI Power Infrastructure: 원자력iSelect iSelect 원자력지수 (시장가격),N,0,,,
A091180,KODEX 자동차,5224,KRX 자동차,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 자동차 KRX 자동차,N,0,,,
A091170,KODEX 은행,4569,KRX 은행,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 은행 KRX 은행,N,0,,,
A139230,TIGER 200 중공업,3928,코스피 200 중공업,Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea KOSPI200,N,0,,,
A325010,KODEX 성장주,1495,FnGuide 성장 지수(PR),Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 성장주 FnGuide 성장 지수(PR),N,0,,,
A363580,KODEX 200IT TR,1021,코스피 200 정보기술 TR,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A139220,TIGER 200 건설,491,코스피 200 건설,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A139270,TIGER 200 금융,430,코스피 200 금융,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A227540,TIGER 200 헬스케어,316,코스피 200 헬스케어,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A147970,TIGER 모멘텀,294,FnGuide 모멘텀 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 모멘텀 FnGuide 모멘텀 지수,N,0,,,
A139250,TIGER 200 에너지화학,288,코스피 200 에너지/화학,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A174350,TIGER 로우볼,94,FnGuide 로우볼 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 로우볼 FnGuide 로우볼 지수,N,0,,,
A227550,TIGER 200 산업재,91,코스피 200 산업재,Risk,위험,국내주식_섹터,15,Korea Cyclical Alpha,Korea KOSPI200,N,0,,,
A227570,TIGER 우량가치,88,FnGuide 퀄리티 밸류 지수,Risk,위험,국내주식_섹터,15,Satellite Equity,Satellite Equity: 우량가치 FnGuide 퀄리티 밸류 지수,N,0,,,
A139290,TIGER 200 경기소비재,83,코스피 200 경기소비재,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A139240,TIGER 200 철강소재,72,코스피 200 철강/소재,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A315270,TIGER 200커뮤니케이션서비스,66,코스피 200 커뮤니케이션서비스,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A227560,TIGER 200 생활소비재,42,코스피 200 생활소비재,Risk,위험,국내주식_섹터,15,Core Equity Beta,Korea KOSPI200,N,0,,,
A459580,KODEX CD금리액티브(합성),79731,KAP 양도성예금증서(CD)금리지수(총수익지수),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Gold,Y,8,Core safety,High-liquidity rate-linked cash proxy,Add if Fed or BOK hawkish shock occurs
A488770,KODEX 머니마켓액티브,72891,KAP MMF 지수(TR),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Money Market,N,0,,,
A423160,KODEX KOFR금리액티브(합성),43045,KOFR 지수,Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Gold,Y,5,Core safety,Overnight-rate linked volatility buffer,Add if risk cluster score falls below 50
A455890,RISE 머니마켓액티브,22406,KIS 시가평가 MMF 지수 (총수익지수),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Money Market,N,0,,,
A469830,SOL 초단기채권액티브,9092,KAP 단기자금시장지수,Safe,안전,금리연계형/초단기채권,50,Commodity Hedge,Gold,N,0,,,
A153130,KODEX 단기채권,7321,KRW Cash Index(총수익),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Short-Duration Safety: 단기채권 KRW Cash Index(총수익),N,0,,,
A456610,TIGER 미국달러SOFR금리액티브(합성),6550,Solactive SOFR Daily Total Return Index,Safe,안전,금리연계형/초단기채권,50,Commodity Hedge,Gold,N,0,,,
A196230,RISE 단기통안채,2081,KIS MSB 5M Index(총수익),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Short-Duration Safety: 단기통안채 KIS MSB 5M Index(총수익),N,0,,,
A455960,RISE 미국달러SOFR금리액티브(합성),602,KAP SOFR 지수,Safe,안전,금리연계형/초단기채권,50,Commodity Hedge,Gold,N,0,,,
A468370,KODEX iShares미국인플레이션국채액티브,187,ICE U.S. Treasury Inflation Linked Bond Index(Total Return),Safe,안전,금리연계형/초단기채권,50,Global Bonds,Global Bonds: iShares미국인플레이션국채액티브 ICE U.S. Treasury Inflation Linked Bond Index(Total Return),N,0,,,
A430500,KIWOOM 물가채KIS,113,KIS TIPS 지수 (Total Return),Safe,안전,금리연계형/초단기채권,50,Short-Duration Safety,Short-Duration Safety: 물가채KIS KIS TIPS 지수 (Total Return),N,0,,,
